Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate,CleanedPrice,Sentiment,SentimentScore
Klipsch RT-12D gereviseerde actieve subwoofer 12inch,"€ 575,00","Nette gebruikte actieve sub. Verkeert in technische topstaat, wel wat lichte gebruikssporen zichtbaar. De versterker is gereviseer",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2225606298-klipsch-rt-12d-gereviseerde-actieve-subwoofer-12inch,,Refurbished,Klipsch,RT-12D,,575.0,Error,0.0
Klipsch KSW10 Actieve Subwoofer 225 watt,"€ 120,00",Zeer goede subwoofer. Gaat echt mooi laag. Heeft normale gebruikerssporen. Testen kan. Voor meer informatie kunt u contact opnemen,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2224817980-klipsch-ksw10-actieve-subwoofer-225-watt,,Zo goed als nieuw,Klipsch,KSW10,2025-01-18,120.0,Error,0.0
Clipsch cinema 800 10 inch subwoofer,"€ 250,00",Klipsch cinema 800 sub10 - krachtige 10 inch actieve subwoofer. Van oorsprong is dit de wireless subwoofer behorende bij de cinema,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2224746968-clipsch-cinema-800-10-inch-subwoofer,,Zo goed als nieuw,Klipsch,cinema 800,2025-01-18,250.0,Error,0.0
Mooie Klipsch SW350 subwoofer,Bieden,Krachtige klipsch sw350 subwoofer 150 - 350 watt in goede staat.een van de betere merken met lovende recenties. Mooi strak diep la,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2222983255-mooie-klipsch-sw350-subwoofer,,Gebruikt,Klipsch,SW350,2025-01-13,0.0,Error,0.0
Klipsch R115-SW Subwoofer,Bieden,"Bij deze bied ik mijn subwoofer aan omdat ik hem zelf niet meer gebruik, het is iets te veel van het goede ( voor de buren ) het i",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2223946502-klipsch-r115-sw-subwoofer,,Ophalen,Klipsch,R115-SW,2025-01-16,0.0,Error,0.0
Klipsch R120 SW,"€ 240,00",De klipsch r-120sw van de nieuwe reference series produceert diepe bastonen en plaatsingsflexibiliteit dankzij de naar voren geric,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2220148964-klipsch-r120-sw,,Zo goed als nieuw,Klipsch,R120 SW,2025-01-12,240.0,Error,0.0
Klipsch RF-62 MK2,"€ 375,00",125 watt rms maximale belastbaarheid 500watt 97db nominale impedantie 8 ohm 1500 hz high frequence crossover subwoofer diameter 6.,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2216904448-klipsch-rf-62-mk2,,Zo goed als nieuw,Klipsch,RF-62 MK2,2024-12-28,375.0,Error,0.0
"Complete Homecimaset (speakers, center en subwoofer)","€ 100,00","Te koop: klipsch b3 bookshelf speakers zeer goed klinkende boekenplankspeakers, compleet met frontplaatjes en in werkende staat. I",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2222356482-complete-homecimaset-speakers-center-en-subwoofer,,Zo goed als nieuw,Klipsch,B3,2025-01-11,100.0,Error,0.0
"Klipsch SPL-120 subwoofer 12"" 600w","€ 499,00","Zeer fijn klinkende subwoofer van klipsch, welke goed in te passen is in systemen van klipsch, maar uiteraard ook andere merken. M",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2211537282-klipsch-spl-120-subwoofer-12-600w,,Zo goed als nieuw,Klipsch,SPL-120,2025-01-06,499.0,Error,0.0
Klipsch RW12 230V Sub-Woofer Cherry/Eiken,"€ 149,99",Nu te koop bij used products lelystad:   - in prima staat - inclusief stroomkabel - 1 maand garantie   jouw product inruilen het i,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2222031843-klipsch-rw12-230v-sub-woofer-cherry-eiken,,Zo goed als nieuw,Klipsch,RW12,2025-01-11,149.99,Error,0.0
Klipsch speakers te koop,Bieden,"Ivm ruimte en kinderen moet ik helaas mijn klipsch set verkopen in super goeie conditie , hier en daar wat gebruik sporen maar voo",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2211204690-klipsch-speakers-te-koop,,Gebruikt,Klipsch,Unknown,2024-12-13,0.0,Error,0.0
3.0 Dolby hifi set - B&W / Klipsch /,Bieden,"Te koop, nette 3.1 Speakerset (front speakers b&w verkocht! Heco subwoofer verkocht wegens verbouwing mogen deze speakers voor",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2216070594-3-0-dolby-hifi-set-b-w-klipsch,,Gebruikt,Klipsch,3.0 Dolby hifi set,2024-12-25,0.0,Error,0.0
Klipsch R-115SW Subwoofer,"€ 1.000,00",2x beschikbaar. Hebben beide gebruikerssporen aan de bovenkant. 1 Van de woofers is een keer gevallen en daardoor is er een hoekje,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2221556654-klipsch-r-115sw-subwoofer,,Gebruikt,Klipsch,R-115SW,2025-01-09,0.0,Error,0.0
Klipsch RP-1400SW,"€ 1.000,00","De klipsch rp-1400sw is een subwoofer die de bijnaam reference premiere waardig is, gebouwd met baanbrekende akoestische technolog",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2225324285-klipsch-rp-1400sw,,Zo goed als nieuw,Klipsch,RP-1400SW,,0.0,Error,0.0
Klipsch RT-12D gereviseerde actieve subwoofer 12inch,"€ 575,00","Nette gebruikte actieve sub. Verkeert in technische topstaat, wel wat lichte gebruikssporen zichtbaar. De versterker is gereviseer",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2225606298-klipsch-rt-12d-gereviseerde-actieve-subwoofer-12inch,,Refurbished,Klipsch,RT-12D,,575.0,Error,0.0
Klipsch KSW10 Actieve Subwoofer 225 watt,"€ 120,00",Zeer goede subwoofer. Gaat echt mooi laag. Heeft normale gebruikerssporen. Testen kan. Voor meer informatie kunt u contact opnemen,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2224817980-klipsch-ksw10-actieve-subwoofer-225-watt,,Zo goed als nieuw,Klipsch,KSW10,2025-01-18,120.0,Error,0.0
Clipsch cinema 800 10 inch subwoofer,"€ 250,00",Klipsch cinema 800 sub10 - krachtige 10 inch actieve subwoofer. Van oorsprong is dit de wireless subwoofer behorende bij de cinema,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2224746968-clipsch-cinema-800-10-inch-subwoofer,,Zo goed als nieuw,Klipsch,Cinema 800,2025-01-18,250.0,Error,0.0
Mooie Klipsch SW350 subwoofer,Bieden,Krachtige klipsch sw350 subwoofer 150 - 350 watt in goede staat.een van de betere merken met lovende recenties. Mooi strak diep la,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2222983255-mooie-klipsch-sw350-subwoofer,,Gebruikt,Klipsch,SW350,2025-01-13,0.0,Error,0.0
Klipsch R115-SW Subwoofer,Bieden,"Bij deze bied ik mijn subwoofer aan omdat ik hem zelf niet meer gebruik, het is iets te veel van het goede ( voor de buren ) het i",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2223946502-klipsch-r115-sw-subwoofer,,Ophalen,Klipsch,R115-SW,2025-01-16,0.0,Error,0.0
Klipsch R120 SW,"€ 240,00",De klipsch r-120sw van de nieuwe reference series produceert diepe bastonen en plaatsingsflexibiliteit dankzij de naar voren geric,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2220148964-klipsch-r120-sw,,Zo goed als nieuw,Klipsch,R120 SW,2025-01-12,240.0,Error,0.0
Klipsch RF-62 MK2,"€ 375,00",125 watt rms maximale belastbaarheid 500watt 97db nominale impedantie 8 ohm 1500 hz high frequence crossover subwoofer diameter 6.,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2216904448-klipsch-rf-62-mk2,,Zo goed als nieuw,Klipsch,RF-62 MK2,2024-12-28,375.0,Error,0.0
"Complete Homecimaset (speakers, center en subwoofer)","€ 100,00","Te koop: klipsch b3 bookshelf speakers zeer goed klinkende boekenplankspeakers, compleet met frontplaatjes en in werkende staat. I",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2222356482-complete-homecimaset-speakers-center-en-subwoofer,,Zo goed als nieuw,Klipsch,B3,2025-01-11,100.0,Error,0.0
"Klipsch SPL-120 subwoofer 12"" 600w","€ 499,00","Zeer fijn klinkende subwoofer van klipsch, welke goed in te passen is in systemen van klipsch, maar uiteraard ook andere merken. M",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2211537282-klipsch-spl-120-subwoofer-12-600w,,Zo goed als nieuw,Klipsch,SPL-120,2025-01-06,499.0,Error,0.0
Klipsch RW12 230V Sub-Woofer Cherry/Eiken,"€ 149,99",Nu te koop bij used products lelystad:   - in prima staat - inclusief stroomkabel - 1 maand garantie   jouw product inruilen het i,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2222031843-klipsch-rw12-230v-sub-woofer-cherry-eiken,,Zo goed als nieuw,Klipsch,RW12,2025-01-11,149.99,Error,0.0
Klipsch speakers te koop,Bieden,"Ivm ruimte en kinderen moet ik helaas mijn klipsch set verkopen in super goeie conditie , hier en daar wat gebruik sporen maar voo",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2211204690-klipsch-speakers-te-koop,,Gebruikt,Klipsch,Unknown,2024-12-13,0.0,Error,0.0
Klipsch R-115SW Subwoofer,"€ 1.000,00",2x beschikbaar. Hebben beide gebruikerssporen aan de bovenkant. 1 Van de woofers is een keer gevallen en daardoor is er een hoekje,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2221556654-klipsch-r-115sw-subwoofer,,Gebruikt,Klipsch,R-115SW,2025-01-09,0.0,Error,0.0
Klipsch RP-1400SW,"€ 1.000,00","De klipsch rp-1400sw is een subwoofer die de bijnaam reference premiere waardig is, gebouwd met baanbrekende akoestische technolog",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2225324285-klipsch-rp-1400sw,,Zo goed als nieuw,Klipsch,RP-1400SW,,0.0,Error,0.0
Klipsch RT-12D gereviseerde actieve subwoofer 12inch,"€ 575,00","Nette gebruikte actieve sub. Verkeert in technische topstaat, wel wat lichte gebruikssporen zichtbaar. De versterker is gereviseer",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2225606298-klipsch-rt-12d-gereviseerde-actieve-subwoofer-12inch,,Refurbished,Klipsch,RT-12D,,575.0,Error,0.0
Klipsch KSW10 Actieve Subwoofer 225 watt,"€ 120,00",Zeer goede subwoofer. Gaat echt mooi laag. Heeft normale gebruikerssporen. Testen kan. Voor meer informatie kunt u contact opnemen,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2224817980-klipsch-ksw10-actieve-subwoofer-225-watt,,Zo goed als nieuw,Klipsch,KSW10,2025-01-18,120.0,Error,0.0
Clipsch cinema 800 10 inch subwoofer,"€ 250,00",Klipsch cinema 800 sub10 - krachtige 10 inch actieve subwoofer. Van oorsprong is dit de wireless subwoofer behorende bij de cinema,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2224746968-clipsch-cinema-800-10-inch-subwoofer,,Zo goed als nieuw,Klipsch,cinema 800 sub10,2025-01-18,250.0,Error,0.0
Mooie Klipsch SW350 subwoofer,Bieden,Krachtige klipsch sw350 subwoofer 150 - 350 watt in goede staat.een van de betere merken met lovende recenties. Mooi strak diep la,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2222983255-mooie-klipsch-sw350-subwoofer,,Gebruikt,Klipsch,SW350,2025-01-13,0.0,Error,0.0
Klipsch R115-SW Subwoofer,Bieden,"Bij deze bied ik mijn subwoofer aan omdat ik hem zelf niet meer gebruik, het is iets te veel van het goede ( voor de buren ) het i",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2223946502-klipsch-r115-sw-subwoofer,,Ophalen,Klipsch,R115-SW,2025-01-16,0.0,Error,0.0
Klipsch R120 SW,"€ 240,00",De klipsch r-120sw van de nieuwe reference series produceert diepe bastonen en plaatsingsflexibiliteit dankzij de naar voren geric,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2220148964-klipsch-r120-sw,,Zo goed als nieuw,Klipsch,R120 SW,2025-01-12,240.0,Error,0.0
Klipsch RF-62 MK2,"€ 375,00",125 watt rms maximale belastbaarheid 500watt 97db nominale impedantie 8 ohm 1500 hz high frequence crossover subwoofer diameter 6.,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2216904448-klipsch-rf-62-mk2,,Zo goed als nieuw,Klipsch,RF-62 MK2,2024-12-28,375.0,Error,0.0
"Complete Homecimaset (speakers, center en subwoofer)","€ 100,00","Te koop: klipsch b3 bookshelf speakers zeer goed klinkende boekenplankspeakers, compleet met frontplaatjes en in werkende staat. I",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2222356482-complete-homecimaset-speakers-center-en-subwoofer,,Zo goed als nieuw,Klipsch,B3 Bookshelf Speakers,2025-01-11,100.0,Error,0.0
"Klipsch SPL-120 subwoofer 12"" 600w","€ 499,00","Zeer fijn klinkende subwoofer van klipsch, welke goed in te passen is in systemen van klipsch, maar uiteraard ook andere merken. M",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2211537282-klipsch-spl-120-subwoofer-12-600w,,Zo goed als nieuw,Klipsch,SPL-120,2025-01-06,499.0,Error,0.0
Klipsch RW12 230V Sub-Woofer Cherry/Eiken,"€ 149,99",Nu te koop bij used products lelystad:   - in prima staat - inclusief stroomkabel - 1 maand garantie   jouw product inruilen het i,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2222031843-klipsch-rw12-230v-sub-woofer-cherry-eiken,,Zo goed als nieuw,Klipsch,RW12,2025-01-11,149.99,Error,0.0
Klipsch speakers te koop,Bieden,"Ivm ruimte en kinderen moet ik helaas mijn klipsch set verkopen in super goeie conditie , hier en daar wat gebruik sporen maar voo",https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2211204690-klipsch-speakers-te-koop,,Gebruikt,Klipsch,Unknown,2024-12-13,0.0,Error,0.0
Klipsch R-115SW Subwoofer,"€ 1.000,00",2x beschikbaar. Hebben beide gebruikerssporen aan de bovenkant. 1 Van de woofers is een keer gevallen en daardoor is er een hoekje,https://www.marktplaats.nl/v/audio-tv-en-foto/luidsprekers/m2221556654-klipsch-r-115sw-subwoofer,,Gebruikt,Klipsch,R-115SW,2025-01-09,0.0,Error,0.0
